对照方案,记录类型,比较范围,比较样本数,一致数量,完全一致比例,主模型类别,对照模型类别,主模型数量,对照模型数量,人数变化_对照减主模型,交叉数量,说明
A_等权重+一维KMeans,一致率汇总,常规可评分记录,1337,1295,0.968586387435,,,,,,,主模型与对照模型逐条比较
A_等权重+一维KMeans,一致率汇总,全部记录,2227,2185,0.981140547822,,,,,,,主模型与对照模型逐条比较
A_等权重+一维KMeans,类别人数变化,全部记录,2227,,,黄金词,黄金词,198,180,-18,,无效词和异常特殊记录使用相同固定规则
A_等权重+一维KMeans,类别人数变化,全部记录,2227,,,重点词,重点词,502,478,-24,,无效词和异常特殊记录使用相同固定规则
A_等权重+一维KMeans,类别人数变化,全部记录,2227,,,潜力词,潜力词,461,479,18,,无效词和异常特殊记录使用相同固定规则
A_等权重+一维KMeans,类别人数变化,全部记录,2227,,,问题词,问题词,178,202,24,,无效词和异常特殊记录使用相同固定规则
A_等权重+一维KMeans,类别人数变化,全部记录,2227,,,无效词,无效词,888,888,0,,无效词和异常特殊记录使用相同固定规则
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,黄金词,黄金词,,,,180,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,黄金词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,黄金词,潜力词,,,,18,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,黄金词,问题词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,重点词,黄金词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,重点词,重点词,,,,478,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,重点词,潜力词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,重点词,问题词,,,,24,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,潜力词,黄金词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,潜力词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,潜力词,潜力词,,,,459,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,潜力词,问题词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,问题词,黄金词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,问题词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,问题词,潜力词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
A_等权重+一维KMeans,混淆矩阵,常规可评分记录,1337,,,问题词,问题词,,,,178,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,一致率汇总,常规可评分记录,1337,1294,0.967838444278,,,,,,,主模型与对照模型逐条比较
B_CRITIC权重+中位数阈值,一致率汇总,全部记录,2227,2184,0.980691513247,,,,,,,主模型与对照模型逐条比较
B_CRITIC权重+中位数阈值,类别人数变化,全部记录,2227,,,黄金词,黄金词,198,186,-12,,无效词和异常特殊记录使用相同固定规则
